GameId,PlayerId,League,Team,DerbyName,Number
1004,1,Tri-City Roller Derby,Thunder,Stacie Jones,101
1004,2,Tri-City Roller Derby,Thunder,Fox Hadley,1013
1004,3,Tri-City Roller Derby,Thunder,Rain Blows Brite,13
1004,4,Tri-City Roller Derby,Thunder,Kristy Skelton,1321
1004,5,Tri-City Roller Derby,Thunder,AnneX,14
1004,6,Tri-City Roller Derby,Thunder,The Honey Badger,18
1004,7,Tri-City Roller Derby,Thunder,Aggrosaurus,2042
1004,8,Tri-City Roller Derby,Thunder,Crazy Squirrel,231
1004,9,Tri-City Roller Derby,Thunder,Anne Tastic,24
1004,10,Tri-City Roller Derby,Thunder,Pity Affoo,711
1004,11,Tri-City Roller Derby,Thunder,Fraxxure,911
1004,12,Tri-City Roller Derby,Thunder,Wylde Leigh Coyote,9TNT
1004,13,Tri-City Roller Derby,Thunder,Commander Will Wrecker,NO1
1004,14,Ohio Roller Girls,Charter Team,Paige Bleed,0125
1004,15,Ohio Roller Girls,Charter Team,"Lora ""OutaMy"" Wayman",10
1004,16,Ohio Roller Girls,Charter Team,Amy Spears,1098
1004,17,Ohio Roller Girls,Charter Team,"Jesse ""Ava Tarr"" Fox",1101
1004,18,Ohio Roller Girls,Charter Team,Kitty Liquorbottom,12
1004,19,Ohio Roller Girls,Charter Team,Texas Chainsaw Sasskicker,19
1004,20,Ohio Roller Girls,Charter Team,Val Holla,2
1004,21,Ohio Roller Girls,Charter Team,The Smacktivist,365
1004,22,Ohio Roller Girls,Charter Team,Burnadeath,451
1004,23,Ohio Roller Girls,Charter Team,HellionBOI,5459
1004,24,Ohio Roller Girls,Charter Team,BiggRigg,815
1004,25,Ohio Roller Girls,Charter Team,KloverKill,99
1004,26,Ohio Roller Girls,Charter Team,TactiGal,C4
1004,27,Ohio Roller Girls,Charter Team,Ena Flash,ICU2
1004,28,Tri-City Roller Derby,Thunder,Andi Slamberg,0
1005,4,Tri-City Roller Derby,Plan B,Kristy Skelton,1321
1005,13,Tri-City Roller Derby,Plan B,Commander Will Wrecker,N01
1005,28,Tri-City Roller Derby,Plan B,Andi Slamberg,0
1005,29,Hammer City Roller Girls,Harlots,Typhoid Maggie,11
1005,30,Hammer City Roller Girls,Harlots,Fista Krusher,11G6
1005,31,Hammer City Roller Girls,Harlots,Hitty Pryde,152
1005,32,Hammer City Roller Girls,Harlots,GuilloTina,237 
1005,33,Hammer City Roller Girls,Harlots,Bam Bam Bigelow,26
1005,34,Hammer City Roller Girls,Harlots,Va Va BOOM,2611
1005,35,Hammer City Roller Girls,Harlots,Miss Carriage,45
1005,36,Hammer City Roller Girls,Harlots,fErinheit,451
1005,37,Hammer City Roller Girls,Harlots,Bean Stalker,511
1005,38,Hammer City Roller Girls,Harlots,Smashin' Good Time,519
1005,39,Hammer City Roller Girls,Harlots,Natty B,58
1005,40,Hammer City Roller Girls,Harlots,Heaven Lee Bash,932
1005,41,Hammer City Roller Girls,Harlots,Lethal Mermaid,H20
1005,42,Hammer City Roller Girls,Harlots,Scooby Doom,K9
1005,43,Tri-City Roller Derby,Plan B,Justine Sane,17
1005,44,Tri-City Roller Derby,Plan B,Lippy Wrongstockings,19
1005,45,Tri-City Roller Derby,Plan B,Zooks,20
1005,46,Tri-City Roller Derby,Plan B,Violent NoRegard,303
1005,47,Tri-City Roller Derby,Plan B,Suzy Slam,33
1005,48,Tri-City Roller Derby,Plan B,Psykosonic,4
1005,49,Tri-City Roller Derby,Plan B,Meg N' Plead,42
1005,50,Tri-City Roller Derby,Plan B,Brunt Force Bunny,44
1005,51,Tri-City Roller Derby,Plan B,Slaughterhouse Streeter,480
1005,52,Tri-City Roller Derby,Plan B,Cannonball Doll,64
1005,53,Tri-City Roller Derby,Plan B,MEGAnTRON,84
