PlayerId,League,DerbyName,Number,EffectiveDate,ExpiryDate
1,Tri-City Roller Derby,Stacie Jones,101,3/14/15 5:00,1/1/00 0:00
2,Tri-City Roller Derby,Fox Hadley,1013,3/14/15 5:00,1/1/00 0:00
3,Tri-City Roller Derby,Rain Blows Brite,13,3/14/15 5:00,1/1/00 0:00
4,Tri-City Roller Derby,Kristy Skelton,1321,3/14/15 5:00,1/1/00 0:00
5,Tri-City Roller Derby,AnneX,14,3/14/15 5:00,1/1/00 0:00
6,Tri-City Roller Derby,The Honey Badger,18,3/14/15 5:00,1/1/00 0:00
7,Tri-City Roller Derby,Aggrosaurus,2042,3/14/15 5:00,1/1/00 0:00
8,Tri-City Roller Derby,Crazy Squirrel,231,3/14/15 5:00,1/1/00 0:00
9,Tri-City Roller Derby,Anne Tastic,24,3/14/15 5:00,1/1/00 0:00
10,Tri-City Roller Derby,Pity Affoo,711,3/14/15 5:00,1/1/00 0:00
11,Tri-City Roller Derby,Fraxxure,911,3/14/15 5:00,1/1/00 0:00
12,Tri-City Roller Derby,Wylde Leigh Coyote,9TNT,3/14/15 5:00,1/1/00 0:00
13,Tri-City Roller Derby,Commander Will Wrecker,NO1,3/14/15 5:00,1/1/00 0:00
14,Ohio Roller Girls,Paige Bleed,0125,3/14/15 5:00,1/1/00 0:00
15,Ohio Roller Girls,"Lora ""OutaMy"" Wayman",10,3/14/15 5:00,1/1/00 0:00
16,Ohio Roller Girls,Amy Spears,1098,3/14/15 5:00,1/1/00 0:00
17,Ohio Roller Girls,"Jesse ""Ava Tarr"" Fox",1101,3/14/15 5:00,1/1/00 0:00
18,Ohio Roller Girls,Kitty Liquorbottom,12,3/14/15 5:00,1/1/00 0:00
19,Ohio Roller Girls,Texas Chainsaw Sasskicker,19,3/14/15 5:00,1/1/00 0:00
20,Ohio Roller Girls,Val Holla,2,3/14/15 5:00,1/1/00 0:00
21,Ohio Roller Girls,The Smacktivist,365,3/14/15 5:00,1/1/00 0:00
22,Ohio Roller Girls,Burnadeath,451,3/14/15 5:00,1/1/00 0:00
23,Ohio Roller Girls,HellionBOI,5459,3/14/15 5:00,1/1/00 0:00
24,Ohio Roller Girls,BiggRigg,815,3/14/15 5:00,1/1/00 0:00
25,Ohio Roller Girls,KloverKill,99,3/14/15 5:00,1/1/00 0:00
26,Ohio Roller Girls,TactiGal,C4,3/14/15 5:00,1/1/00 0:00
27,Ohio Roller Girls,Ena Flash,ICU2,3/14/15 5:00,1/1/00 0:00
28,Tri-City Roller Derby,Andi Slamberg,0,3/14/15 5:00,1/1/00 0:00
29,Hammer City Roller Girls,Typhoid Maggie,11,4/11/15 8:00,1/1/00 0:00
30,Hammer City Roller Girls,Fista Krusher,11G6,4/11/15 8:00,1/1/00 0:00
31,Hammer City Roller Girls,Hitty Pryde,152,4/11/15 8:00,1/1/00 0:00
32,Hammer City Roller Girls,GuilloTina,237 ,4/11/15 8:00,1/1/00 0:00
33,Hammer City Roller Girls,Bam Bam Bigelow,26,4/11/15 8:00,1/1/00 0:00
34,Hammer City Roller Girls,Va Va BOOM,2611,4/11/15 8:00,1/1/00 0:00
35,Hammer City Roller Girls,Miss Carriage,45,4/11/15 8:00,1/1/00 0:00
36,Hammer City Roller Girls,fErinheit,451,4/11/15 8:00,1/1/00 0:00
37,Hammer City Roller Girls,Bean Stalker,511,4/11/15 8:00,1/1/00 0:00
38,Hammer City Roller Girls,Smashin' Good Time,519,4/11/15 8:00,1/1/00 0:00
39,Hammer City Roller Girls,Natty B,58,4/11/15 8:00,1/1/00 0:00
40,Hammer City Roller Girls,Heaven Lee Bash,932,4/11/15 8:00,1/1/00 0:00
41,Hammer City Roller Girls,Lethal Mermaid,H20,4/11/15 8:00,1/1/00 0:00
42,Hammer City Roller Girls,Scooby Doom,K9,4/11/15 8:00,1/1/00 0:00
43,Tri-City Roller Derby,Justine Sane,17,4/11/15 8:00,1/1/00 0:00
44,Tri-City Roller Derby,Lippy Wrongstockings,19,4/11/15 8:00,1/1/00 0:00
45,Tri-City Roller Derby,Zooks,20,4/11/15 8:00,1/1/00 0:00
46,Tri-City Roller Derby,Violent NoRegard,303,4/11/15 8:00,1/1/00 0:00
47,Tri-City Roller Derby,Suzy Slam,33,4/11/15 8:00,1/1/00 0:00
48,Tri-City Roller Derby,Psykosonic,4,4/11/15 8:00,1/1/00 0:00
49,Tri-City Roller Derby,Meg N' Plead,42,4/11/15 8:00,1/1/00 0:00
50,Tri-City Roller Derby,Brunt Force Bunny,44,4/11/15 8:00,1/1/00 0:00
51,Tri-City Roller Derby,Slaughterhouse Streeter,480,4/11/15 8:00,1/1/00 0:00
52,Tri-City Roller Derby,Cannonball Doll,64,4/11/15 8:00,1/1/00 0:00
53,Tri-City Roller Derby,MEGAnTRON,84,4/11/15 8:00,1/1/00 0:00
